usernum	cond	timestamp	leftright	order	expected	choice
204	target_f1_4	09/15/2021 16:49:59.747	0.0866257656171037	6	either	ring_toe
204	target_h4_5	09/15/2021 16:50:04.500	0.100581485618935	7	either	ring_finger
204	filler_l_l	09/15/2021 16:50:07.939	0.703375099067674	8	either	leg_calf
204	filler_b_b	09/15/2021 16:50:10.979	0.759113199616881	9	either	back
204	filler_b_a	09/15/2021 16:50:13.194	0.222982068154128	10	back	back
204	target_h1_4	09/15/2021 16:50:18.927	0.622907682628469	11	either	thumb
204	target_f4_5	09/15/2021 16:50:22.801	0.731974320792691	12	either	ring_toe
205	filler_a_l	09/15/2021 16:49:50.524	0.208142719538049	1	arm	arm_shoulder
205	target_f4_5	09/15/2021 16:49:56.799	0.146753473048197	2	either	pinky_toe
205	filler_a_a	09/15/2021 16:50:03.385	0.792473250608058	3	either	arm_shoulder
205	target_f1_4	09/15/2021 16:50:12.312	0.496741665600897	4	either	ring_toe
205	target_h4_5	09/15/2021 16:50:16.725	0.212204197728173	5	either	pinky
205	filler_b_b	09/15/2021 16:50:21.168	0.815460277562128	6	either	back
205	target_h1_4	09/15/2021 16:50:25.323	0.741485569466935	7	either	ring_finger
205	target_h1_5	09/15/2021 16:50:28.229	0.43221644831738	8	either	pinky
205	filler_l_b	09/15/2021 16:50:31.558	0.404799252356501	9	leg	leg_knee
205	filler_l_l	09/15/2021 16:50:34.844	0.926364518542872	10	either	leg_calf
205	filler_b_a	09/15/2021 16:50:36.978	0.815097559782775	11	back	back
205	target_f1_5	09/15/2021 16:50:41.987	0.136298375045047	12	either	pinky_toe
206	target_h1_4	09/15/2021 16:50:20.692	0.82068975393577	1	either	ring_finger
206	target_h4_5	09/15/2021 16:50:32.927	0.782003233981417	2	either	ring_finger
206	filler_l_l	09/15/2021 16:50:38.101	0.440177790661441	3	either	leg_calf
206	filler_l_b	09/15/2021 16:50:43.117	0.24076261611572	4	leg	leg_knee
206	target_h1_5	09/15/2021 16:50:49.780	0.750125619423674	5	either	thumb
206	target_f1_4	09/15/2021 16:50:54.684	0.630592093178169	6	either	big_toe
206	filler_b_a	09/15/2021 16:50:57.945	0.074730833833204	7	back	back
206	target_f1_5	09/15/2021 16:51:02.069	0.10046297272584	8	either	big_toe
206	filler_b_b	09/15/2021 16:51:07.259	0.157135418689908	9	either	back
206	target_f4_5	09/15/2021 16:51:09.434	0.112696284501911	10	either	ring_toe
206	filler_a_a	09/15/2021 16:51:14.855	0.754127156295912	11	either	arm_shoulder
206	filler_a_l	09/15/2021 16:51:17.370	0.735582773181708	12	arm	arm_shoulder
207	filler_l_b	09/15/2021 16:49:56.697	0.991920800254778	1	leg	leg_knee
207	target_h1_5	09/15/2021 16:50:02.027	0.663811039486067	2	either	pinky
207	target_h1_4	09/15/2021 16:50:03.643	0.978376052648859	3	either	thumb
207	target_f1_5	09/15/2021 16:50:06.686	0.349971977136196	4	either	big_toe
207	filler_a_l	09/15/2021 16:50:09.458	0.935788439427601	5	arm	arm_shoulder
207	target_h4_5	09/15/2021 16:50:12.599	0.0447438371638818	6	either	pinky
207	target_f1_4	09/15/2021 16:50:15.664	0.974101614280702	7	either	ring_toe
207	target_f4_5	09/15/2021 16:50:17.389	0.289587515712814	8	either	ring_toe
207	filler_b_a	09/15/2021 16:50:18.946	0.479620863524364	9	back	back
207	filler_b_b	09/15/2021 16:50:27.637	0.433731582787917	10	either	back_shoulder
207	filler_a_a	09/15/2021 16:50:30.005	0.866404215180413	11	either	arm_shoulder
207	filler_l_l	09/15/2021 16:50:32.540	0.329705100813047	12	either	leg_calf
208	target_h1_5	09/15/2021 16:50:31.084	0.539355075293319	1	either	pinky
208	target_h4_5	09/15/2021 16:50:34.332	0.828714361487986	2	either	ring_finger
208	filler_a_l	09/15/2021 16:50:38.000	0.537565629770146	3	arm	arm_shoulder
208	target_f1_5	09/15/2021 16:50:46.167	0.541201591798202	4	either	big_toe
208	filler_b_a	09/15/2021 16:50:55.268	0.456257903090776	5	back	back
208	filler_l_b	09/15/2021 16:50:57.737	0.482618189490498	6	leg	leg_knee
208	filler_a_a	09/15/2021 16:51:01.097	0.818914679418416	7	either	arm_shoulder
208	filler_b_b	09/15/2021 16:51:03.032	0.202907063373463	8	either	back
